# コードＩＤ：CDAC0138  コード名：施設分野、業務内容コード  説明：国土交通省告示に基づく技術者資格評価業務（施設分野／業務）を示すコード。
# コードＩＤ,値,デコード文字列（上2桁）,デコード文字列（下2桁）
CDAC0138,0100,河川・ダム,計画・調査・設計
CDAC0138,0200,堤防・河道,点検・診断
CDAC0138,0300,砂防,計画・調査・設計
CDAC0138,0400,地すべり防止施設,点検・診断
CDAC0138,0500,地すべり対策,計画・調査・設計
CDAC0138,0600,急傾斜地崩壊防止施設,点検・診断
CDAC0138,0700,急傾斜地崩壊等対策,計画・調査・設計
CDAC0138,0800,砂防設備,点検・診断
CDAC0138,0900,海岸,計画・調査・設計
CDAC0138,0901,海岸,調査
CDAC0138,1000,海岸堤防等,点検・診断
CDAC0138,1100,港湾,計画・調査（全般）
CDAC0138,1101,港湾,計画・調査（深浅測量・水路測量）
CDAC0138,1102,港湾,計画・調査（磁気探査）
CDAC0138,1103,港湾,計画・調査（潜水探査）
CDAC0138,1104,港湾,計画・調査（気象・海象調査）
CDAC0138,1105,港湾,計画・調査（海洋地質・土質調査）
CDAC0138,1106,港湾,計画・調査（海洋環境調査）
CDAC0138,1107,港湾,調査（潜水）
CDAC0138,1108,港湾,設計
CDAC0138,1200,港湾施設,点検・診断
CDAC0138,1201,港湾施設,計画策定（維持管理）
CDAC0138,1202,港湾施設,設計（維持管理）
CDAC0138,1300,空港,計画・調査・設計
CDAC0138,1400,空港施設,点検・診断
CDAC0138,1401,空港施設,設計（維持管理）
CDAC0138,1500,道路,計画・調査・設計
CDAC0138,1600,橋梁,計画・調査・設計
CDAC0138,1700,橋梁（鋼橋）,点検
CDAC0138,1701,橋梁（鋼橋）,診断
CDAC0138,1800,橋梁（コンクリート橋）,点検
CDAC0138,1801,橋梁（コンクリート橋）,診断
CDAC0138,1900,トンネル,点検
CDAC0138,1901,トンネル,診断
CDAC0138,1902,トンネル,計画・調査・設計
CDAC0138,2000,下水道,計画・調査・設計
CDAC0138,2100,下水道管路施設,点検・診断
CDAC0138,2101,下水道管路施設,点検
CDAC0138,2200,都市公園等,計画・調査・設計
CDAC0138,2300,公園施設（遊具）,点検
CDAC0138,2301,公園施設（遊具）,診断
CDAC0138,2400,都市計画及び地方計画,計画・調査・設計
CDAC0138,2500,地質・土質,調査
CDAC0138,2600,土木機械設備,診断
CDAC0138,2601,土木機械設備,計画・調査・設計
CDAC0138,2700,建設環境,調査
CDAC0138,2800,建設機械,計画・調査・設計
CDAC0138,2900,電気施設・通信施設・制御処理システム,計画・調査・設計
# コードＩＤ：CDAC0138 2019/03/17 追加
CDAC0138,3000,舗装,点検
CDAC0138,3001,舗装,診断
CDAC0138,3100,小規模附属物,点検
CDAC0138,3101,小規模附属物,診断
CDAC0138,3200,道路土工構造物（土工）,点検
CDAC0138,3201,道路土工構造物（土工）,診断
CDAC0138,3300,道路土工構造物（シェッド・大型カルバート等）,点検
CDAC0138,3301,道路土工構造物（シェッド・大型カルバート等）,診断
CDAC0138,3400,宅地防災,計画・調査・設計

# コードＩＤ：CDAC3270  コード名：工種_工法_型式、担当工事内容  説明：工種_工法_型式、担当工事内容を示すコード。
# コードＩＤ,値,デコード文字列（正式名称）,デコード文字列（略称）
CDAC3270,01290,土地造成工事,土地造成工
CDAC3270,02150,築堤工事,築堤工
CDAC3270,03160,護岸工事,護岸工
CDAC3270,04170,根固・水制工事,根固・水制工
CDAC3270,05200,床止工事（落差工，帯工）,床止工
CDAC3270,06060,堰・水門工事,堰・水門工
CDAC3270,07180,樋門・樋管工事,樋門・樋管工
CDAC3270,08190,伏せ越し工事,伏せ越し工
CDAC3270,09080,水路・管路工事,水路・管路工
CDAC3270,10300,管渠推進工事,管渠推進工
CDAC3270,11070,揚排水機場工事,揚排水機場工
CDAC3270,12051,砂防工事,砂防ダム工
CDAC3270,12052,砂防工事,砂防流路工
CDAC3270,12053,砂防工事,砂防山腹工
CDAC3270,13090,地滑り防止工事,地滑り防止工
CDAC3270,14021,ニューマチックケーソン工事,ニューマチックケーソン工
CDAC3270,15022,オープンケーソン工事,オープンケーソン工
CDAC3270,16131,コンクリート構造物工事,カルバート工
CDAC3270,16132,コンクリート構造物工事,鉄筋コンクリート橋
CDAC3270,16133,コンクリート構造物工事,橋梁下部工
CDAC3270,16134,コンクリート構造物工事,鉄筋コンクリート床版工
CDAC3270,16135,コンクリート構造物工事,キャブ工
CDAC3270,16136,コンクリート構造物工事,コンクリート擁壁工
CDAC3270,16137,コンクリート構造物工事,フーチング工
CDAC3270,16138,コンクリート構造物工事,情報ボックス
CDAC3270,16139,コンクリート構造物工事,電線共同溝
CDAC3270,17031,トンネル工事,ＮＡＴＭ，矢板トンネル，ＴＢＭ
